,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
68,2016-11-02,19:45 ,Champions Lg,Group stage,Wed,Home,L,0,1,de Leverkusen,59,"85,512",Hugo Lloris,4-2-3-1,Jonas Eriksson,Match Report,,2016-2017,2016-2017,2016-2017,,
69,2016-11-06,12:00 ,Premier League,Matchweek 11,Sun,Away,D,1,1,Arsenal,54,"60,039",Hugo Lloris,3-4-3,Mark Clattenburg,Match Report,,2016-2017,2016-2017,2016-2017,,
70,2016-11-19,17:30 ,Premier League,Matchweek 12,Sat,Home,W,3,2,West Ham,67,"31,212",Hugo Lloris,4-3-1-2,Mike Dean,Match Report,,2016-2017,2016-2017,2016-2017,,
71,2016-11-22,20:45 ,Champions Lg,Group stage,Tue,Away,L,1,2,fr Monaco,63,"13,100",Hugo Lloris,4-3-2-1,Björn Kuipers,Match Report,,2016-2017,2016-2017,2016-2017,,
72,2016-11-26,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,2,Chelsea,54,"41,513",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
73,2016-12-03,15:00 ,Premier League,Matchweek 14,Sat,Home,W,5,0,Swansea City,60,"31,663",Harry Kane,4-2-3-1,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
74,2016-12-07,19:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,ru CSKA Moscow,72,"62,034",Hugo Lloris,4-2-3-1,Nicola Rizzoli,Match Report,,2016-2017,2016-2017,2016-2017,,
75,2016-12-11,14:15 ,Premier League,Matchweek 15,Sun,Away,L,0,1,Manchester Utd,60,"75,271",Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,2016-2017,2016-2017,2016-2017,,
76,2016-12-14,20:00 ,Premier League,Matchweek 16,Wed,Home,W,3,0,Hull City,63,"31,347",Hugo Lloris,3-4-3◆,Andre Marriner,Match Report,,2016-2017,2016-2017,2016-2017,,
77,2016-12-18,16:00 ,Premier League,Matchweek 17,Sun,Home,W,2,1,Burnley,60,"31,467",Hugo Lloris,4-3-2-1,Kevin Friend,Match Report,,2016-2017,2016-2017,2016-2017,,
