,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
78,2007-03-15,,UEFA Cup,Round of 16,Thu,Away,L,0,2,nl AZ Alkmaar,,,,,Bertrand Layec,Match Report,Leg 2 of 2; AZ Alkmaar won,2006-2007,2006-2007,2006-2007
79,2007-03-18,,Premier League,Matchweek 30,Sun,Away,L,0,2,Charlton Ath,,"27,028",,,Dermot Gallagher,Match Report,,2006-2007,2006-2007,2006-2007
80,2007-03-31,,Premier League,Matchweek 31,Sat,Home,L,0,1,Manchester City,,"52,320",,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007
81,2007-04-07,,Premier League,Matchweek 32,Sat,Away,W,2,1,Sheffield Utd,,"32,572",,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007
82,2007-04-09,,Premier League,Matchweek 33,Mon,Home,D,0,0,Arsenal,,"52,299",,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007
83,2007-04-14,,Premier League,Matchweek 34,Sat,Away,L,1,2,Portsmouth,,"20,165",,,Chris Foy,Match Report,,2006-2007,2006-2007,2006-2007
84,2007-04-22,,Premier League,Matchweek 35,Sun,Home,D,0,0,Chelsea,,"52,056",,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007
85,2007-04-30,,Premier League,Matchweek 36,Mon,Away,L,0,1,Reading,,"24,109",,,Mike Riley,Match Report,,2006-2007,2006-2007,2006-2007
86,2007-05-05,,Premier League,Matchweek 37,Sat,Home,L,0,2,Blackburn,,"51,840",,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007
87,2007-05-13,,Premier League,Matchweek 38,Sun,Away,D,1,1,Watford,,"19,830",,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007
88,2007-08-11,,Premier League,Matchweek 1,Sat,Away,W,3,1,Bolton,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008
89,2007-08-18,,Premier League,Matchweek 3,Sat,Home,D,0,0,Aston Villa,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008
90,2007-08-26,,Premier League,Matchweek 4,Sun,Away,D,2,2,Middlesbrough,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008
91,2007-09-01,,Premier League,Matchweek 5,Sat,Home,W,1,0,Wigan Athletic,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008
92,2007-09-17,,Premier League,Matchweek 6,Mon,Away,L,0,1,Derby County,,,,,Peter Walton,Match Report,,2007-2008,2007-2008,2007-2008
93,2007-09-23,,Premier League,Matchweek 7,Sun,Home,W,3,1,West Ham,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008
94,2007-09-29,,Premier League,Matchweek 8,Sat,Away,L,1,3,Manchester City,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008
95,2007-10-07,,Premier League,Matchweek 9,Sun,Home,W,3,2,Everton,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008
96,2007-10-22,,Premier League,Matchweek 10,Mon,Home,W,3,1,Tottenham,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008
97,2007-10-27,,Premier League,Matchweek 11,Sat,Away,L,1,2,Reading,,,,,Phil Dowd,Match Report,,2007-2008,2007-2008,2007-2008
98,2007-11-03,,Premier League,Matchweek 12,Sat,Home,L,1,4,Portsmouth,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008
99,2007-11-10,,Premier League,Matchweek 13,Sat,Away,D,1,1,Sunderland,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008
100,2007-11-24,,Premier League,Matchweek 14,Sat,Home,L,0,3,Liverpool,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008
101,2007-12-01,,Premier League,Matchweek 15,Sat,Away,L,1,3,Blackburn,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008
102,2007-12-05,,Premier League,Matchweek 2,Wed,Home,D,1,1,Arsenal,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008
103,2007-12-08,,Premier League,Matchweek 16,Sat,Home,W,2,1,Birmingham City,,,,,Rob Styles,Match Report,,2007-2008,2007-2008,2007-2008
104,2007-12-15,,Premier League,Matchweek 17,Sat,Away,W,1,0,Fulham,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008
105,2007-12-23,,Premier League,Matchweek 18,Sun,Home,D,2,2,Derby County,,,,,Andre Marriner,Match Report,,2007-2008,2007-2008,2007-2008
106,2007-12-26,,Premier League,Matchweek 19,Wed,Away,L,0,1,Wigan Athletic,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008
107,2007-12-29,,Premier League,Matchweek 20,Sat,Away,L,1,2,Chelsea,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008
108,2008-01-02,,Premier League,Matchweek 21,Wed,Home,L,0,2,Manchester City,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008
109,2008-01-12,,Premier League,Matchweek 22,Sat,Away,L,0,6,Manchester Utd,,"75,965",,,Rob Styles,Match Report,,2007-2008,2007-2008,2007-2008
110,2008-01-19,,Premier League,Matchweek 23,Sat,Home,D,0,0,Bolton,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008
111,2008-01-29,,Premier League,Matchweek 24,Tue,Away,L,0,3,Arsenal,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008
112,2008-02-03,,Premier League,Matchweek 25,Sun,Home,D,1,1,Middlesbrough,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008
113,2008-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,4,Aston Villa,,,,,Lee Mason,Match Report,,2007-2008,2007-2008,2007-2008
114,2008-02-23,,Premier League,Matchweek 27,Sat,Home,L,1,5,Manchester Utd,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008
115,2008-03-01,,Premier League,Matchweek 28,Sat,Home,L,0,1,Blackburn,,,,,Rob Styles,Match Report,,2007-2008,2007-2008,2007-2008
116,2008-03-08,,Premier League,Matchweek 29,Sat,Away,L,0,3,Liverpool,,,,,Peter Walton,Match Report,,2007-2008,2007-2008,2007-2008
117,2008-03-17,,Premier League,Matchweek 30,Mon,Away,D,1,1,Birmingham City,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008
118,2008-03-22,,Premier League,Matchweek 31,Sat,Home,W,2,0,Fulham,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008
119,2008-03-30,,Premier League,Matchweek 32,Sun,Away,W,4,1,Tottenham,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008
120,2008-04-05,,Premier League,Matchweek 33,Sat,Home,W,3,0,Reading,,,,,Lee Probert,Match Report,,2007-2008,2007-2008,2007-2008
121,2008-04-12,,Premier League,Matchweek 34,Sat,Away,D,0,0,Portsmouth,,,,,Phil Dowd,Match Report,,2007-2008,2007-2008,2007-2008
122,2008-04-20,,Premier League,Matchweek 35,Sun,Home,W,2,0,Sunderland,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008
123,2008-04-26,,Premier League,Matchweek 36,Sat,Away,D,2,2,West Ham,,,,,Uriah Rennie,Match Report,,2007-2008,2007-2008,2007-2008
124,2008-05-05,,Premier League,Matchweek 37,Mon,Home,L,0,2,Chelsea,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008
125,2008-05-11,,Premier League,Matchweek 38,Sun,Away,L,1,3,Everton,,,,,Peter Walton,Match Report,,2007-2008,2007-2008,2007-2008
126,2008-08-17,,Premier League,Matchweek 1,Sun,Away,D,1,1,Manchester Utd,,,,4-4-1-1,Mike Riley,Match Report,,2008-2009,2008-2009,2008-2009
127,2008-08-23,,Premier League,Matchweek 2,Sat,Home,W,1,0,Bolton,,,,4-5-1,Stephen Bennett,Match Report,,2008-2009,2008-2009,2008-2009
128,2008-08-30,,Premier League,Matchweek 3,Sat,Away,L,0,3,Arsenal,,,,4-4-2,Rob Styles,Match Report,,2008-2009,2008-2009,2008-2009
129,2008-09-13,,Premier League,Matchweek 4,Sat,Home,L,1,2,Hull City,,,,4-1-2-1-2◆,Andre Marriner,Match Report,,2008-2009,2008-2009,2008-2009
130,2008-09-20,,Premier League,Matchweek 5,Sat,Away,L,1,3,West Ham,,,,4-4-2,Phil Dowd,Match Report,,2008-2009,2008-2009,2008-2009
131,2008-09-27,,Premier League,Matchweek 6,Sat,Home,L,1,2,Blackburn,,,,4-4-2,Steve Tanner,Match Report,,2008-2009,2008-2009,2008-2009
132,2008-10-05,,Premier League,Matchweek 7,Sun,Away,D,2,2,Everton,,,,4-4-1-1,Howard Webb,Match Report,,2008-2009,2008-2009,2008-2009
133,2008-10-20,,Premier League,Matchweek 8,Mon,Home,D,2,2,Manchester City,,,,4-4-2,Rob Styles,Match Report,,2008-2009,2008-2009,2008-2009
134,2008-10-25,,Premier League,Matchweek 9,Sat,Away,L,1,2,Sunderland,,,,4-4-2,Mike Riley,Match Report,,2008-2009,2008-2009,2008-2009
135,2008-10-28,,Premier League,Matchweek 10,Tue,Home,W,2,1,West Brom,,,,4-4-2,Mike Dean,Match Report,,2008-2009,2008-2009,2008-2009
136,2008-11-03,,Premier League,Matchweek 11,Mon,Home,W,2,0,Aston Villa,,,,4-4-2,Stephen Bennett,Match Report,,2008-2009,2008-2009,2008-2009
137,2008-11-09,,Premier League,Matchweek 12,Sun,Away,L,1,2,Fulham,,,,4-4-2,Martin Atkinson,Match Report,,2008-2009,2008-2009,2008-2009
138,2008-11-15,,Premier League,Matchweek 13,Sat,Home,D,2,2,Wigan Athletic,,,,4-4-2,Andre Marriner,Match Report,,2008-2009,2008-2009,2008-2009
