,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
107,2007-11-11,,La Liga,Matchweek 12,Sun,Home,W,4,3,Mallorca,,,,,Fernández Borbalán,Match Report,,2007-2008,2007-2008,2007-2008
108,2007-11-24,,La Liga,Matchweek 13,Sat,Away,D,1,1,Real Murcia,,,,,Daudén Ibáñez,Match Report,,2007-2008,2007-2008,2007-2008
109,2007-11-28,,Champions Lg,Group stage,Wed,Away,L,2,3,de Werder Bremen,,,,,Pieter Vink,Match Report,,2007-2008,2007-2008,2007-2008
110,2007-12-01,,La Liga,Matchweek 14,Sat,Home,W,3,1,Racing Sant,,,,,Muñiz Fernández,Match Report,,2007-2008,2007-2008,2007-2008
111,2007-12-08,,La Liga,Matchweek 15,Sat,Away,W,1,0,Athletic Club,,,,,Medina Cantalejo,Match Report,,2007-2008,2007-2008,2007-2008
112,2007-12-11,,Champions Lg,Group stage,Tue,Home,W,3,1,it Lazio,,,,,Massimo Busacca,Match Report,,2007-2008,2007-2008,2007-2008
113,2007-12-16,,La Liga,Matchweek 16,Sun,Home,W,2,0,Osasuna,,,,,Teixeira Vitienes,Match Report,,2007-2008,2007-2008,2007-2008
114,2007-12-23,,La Liga,Matchweek 17,Sun,Away,W,1,0,Barcelona,,,,,Mejuto González,Match Report,,2007-2008,2007-2008,2007-2008
115,2008-01-06,,La Liga,Matchweek 18,Sun,Home,W,2,0,Zaragoza,,,,,Iturralde González,Match Report,,2007-2008,2007-2008,2007-2008
116,2008-01-13,,La Liga,Matchweek 19,Sun,Away,W,2,0,Levante,,,,,Fernández Borbalán,Match Report,,2007-2008,2007-2008,2007-2008
117,2008-01-20,,La Liga,Matchweek 20,Sun,Away,W,2,0,Atlético Madrid,,,,,Muñiz Fernández,Match Report,,2007-2008,2007-2008,2007-2008
118,2008-01-27,,La Liga,Matchweek 21,Sun,Home,W,3,2,Villarreal,,,,,Álvarez Izquierdo,Match Report,,2007-2008,2007-2008,2007-2008
119,2008-02-02,,La Liga,Matchweek 22,Sat,Away,L,0,2,Almería,,,,,Clos Gómez,Match Report,,2007-2008,2007-2008,2007-2008
120,2008-02-10,,La Liga,Matchweek 23,Sun,Home,W,7,0,Valladolid,,,,,Ramírez Domínguez,Match Report,,2007-2008,2007-2008,2007-2008
121,2008-02-16,,La Liga,Matchweek 24,Sat,Away,L,1,2,Betis,,,,,Undiano Mallenco,Match Report,,2007-2008,2007-2008,2007-2008
122,2008-02-19,,Champions Lg,Round of 16,Tue,Away,L,1,2,it Roma,,,,,Herbert Fandel,Match Report,Leg 1 of 2,2007-2008,2007-2008,2007-2008
123,2008-02-24,,La Liga,Matchweek 25,Sun,Home,L,0,1,Getafe,,,,,Daudén Ibáñez,Match Report,,2007-2008,2007-2008,2007-2008
124,2008-03-01,,La Liga,Matchweek 26,Sat,Away,W,3,2,Recreativo,,,,4-2-3-1,Iturralde González,Match Report,,2007-2008,2007-2008,2007-2008
125,2008-03-05,,Champions Lg,Round of 16,Wed,Home,L,1,2,it Roma,,,,,Kyros Vassaras,Match Report,Leg 2 of 2; Roma won,2007-2008,2007-2008,2007-2008
126,2008-03-08,,La Liga,Matchweek 27,Sat,Home,W,2,1,Espanyol,,,,,Muñiz Fernández,Match Report,,2007-2008,2007-2008,2007-2008
127,2008-03-15,,La Liga,Matchweek 28,Sat,Away,L,0,1,La Coruña,,,,,Turienzo Álvarez,Match Report,,2007-2008,2007-2008,2007-2008
128,2008-03-23,,La Liga,Matchweek 29,Sun,Home,L,2,3,Valencia,,,,,Clos Gómez,Match Report,,2007-2008,2007-2008,2007-2008
129,2008-03-30,,La Liga,Matchweek 30,Sun,Home,W,3,1,Sevilla,,,,,Teixeira Vitienes,Match Report,,2007-2008,2007-2008,2007-2008
130,2008-04-05,,La Liga,Matchweek 31,Sat,Away,D,1,1,Mallorca,,,,,Daudén Ibáñez,Match Report,,2007-2008,2007-2008,2007-2008
131,2008-04-13,,La Liga,Matchweek 32,Sun,Home,W,1,0,Real Murcia,,,,,Iturralde González,Match Report,,2007-2008,2007-2008,2007-2008
132,2008-04-20,,La Liga,Matchweek 33,Sun,Away,W,2,0,Racing Sant,,,,,Muñiz Fernández,Match Report,,2007-2008,2007-2008,2007-2008
133,2008-04-27,,La Liga,Matchweek 34,Sun,Home,W,3,0,Athletic Club,,,,,Fernández Borbalán,Match Report,,2007-2008,2007-2008,2007-2008
134,2008-05-04,,La Liga,Matchweek 35,Sun,Away,W,2,1,Osasuna,,,,,Medina Cantalejo,Match Report,,2007-2008,2007-2008,2007-2008
