,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
57,2001-09-15,,Premier League,Matchweek 5,Sat,Away,W,3,1,Everton,,39554,,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002,
58,2001-09-19,,Champions Lg,First group stage,Wed,Away,D,0,0,de Dortmund,,,,,Valentin Ivanov,Match Report,,2001-2002,2001-2002,2001-2002,
59,2001-09-22,,Premier League,Matchweek 7,Sat,Home,W,1,0,Tottenham,,44116,,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002,
60,2001-09-26,,Champions Lg,First group stage,Wed,Home,W,1,0,ua Dynamo Kyiv,,,,,Pierluigi Collina,Match Report,,2001-2002,2001-2002,2001-2002,
61,2001-09-30,,Premier League,Matchweek 8,Sun,Away,W,2,0,Newcastle Utd,,52095,,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002,
62,2001-10-13,,Premier League,Matchweek 9,Sat,Home,D,1,1,Leeds United,,44352,,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002,
63,2001-10-16,,Champions Lg,First group stage,Tue,Away,W,2,1,ua Dynamo Kyiv,,,,,Claude Colombo,Match Report,,2001-2002,2001-2002,2001-2002,
64,2001-10-20,,Premier League,Matchweek 10,Sat,Away,W,4,1,Leicester City,,21886,,,Mark Halsey,Match Report,,2001-2002,2001-2002,2001-2002,
65,2001-10-24,,Champions Lg,First group stage,Wed,Away,D,1,1,pt Boavista,,,,,Karl-Erik Nilsson,Match Report,,2001-2002,2001-2002,2001-2002,
66,2001-10-27,,Premier League,Matchweek 11,Sat,Away,W,2,0,Charlton Ath,,22887,,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002,
67,2001-10-30,,Champions Lg,First group stage,Tue,Home,W,2,0,de Dortmund,,,,,Kim Milton Nielsen,Match Report,,2001-2002,2001-2002,2001-2002,
68,2001-11-04,,Premier League,Matchweek 12,Sun,Home,W,3,1,Manchester Utd,,44361,,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002,
69,2001-11-17,,Premier League,Matchweek 13,Sat,Away,D,1,1,Blackburn,,28859,,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002,
70,2001-11-20,,Champions Lg,Second group stage,Tue,Home,L,1,3,es Barcelona,,,,,Hellmut Krug,Match Report,,2001-2002,2001-2002,2001-2002,
71,2001-11-25,,Premier League,Matchweek 14,Sun,Home,W,1,0,Sunderland,,43537,,,Stephen Bennett,Match Report,,2001-2002,2001-2002,2001-2002,
72,2001-12-01,,Premier League,Matchweek 15,Sat,Away,W,1,0,Derby County,,33289,,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002,
73,2001-12-05,,Champions Lg,Second group stage,Wed,Away,D,0,0,it Roma,,,,,Dick Jol,Match Report,,2001-2002,2001-2002,2001-2002,
74,2001-12-08,,Premier League,Matchweek 16,Sat,Home,W,2,0,Middlesbrough,,43674,,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002,
75,2001-12-12,,Premier League,Matchweek 6,Wed,Home,D,0,0,Fulham,,37163,,,Jeff Winter,Match Report,,2001-2002,2001-2002,2001-2002,
76,2001-12-16,,Premier League,Matchweek 17,Sun,Away,L,0,4,Chelsea,,41174,,,Mark Halsey,Match Report,,2001-2002,2001-2002,2001-2002,
77,2001-12-23,,Premier League,Matchweek 18,Sun,Home,L,1,2,Arsenal,,44297,,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002,
78,2001-12-26,,Premier League,Matchweek 19,Wed,Away,W,2,1,Aston Villa,,42602,,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002,
79,2001-12-29,,Premier League,Matchweek 20,Sat,Away,D,1,1,West Ham,,35103,,,Rob Styles,Match Report,,2001-2002,2001-2002,2001-2002,
80,2002-01-01,,Premier League,Matchweek 21,Tue,Home,D,1,1,Bolton,,43710,,,Clive Wilkes,Match Report,,2001-2002,2001-2002,2001-2002,
81,2002-01-09,,Premier League,Matchweek 2,Wed,Away,L,0,2,Southampton,,31527,,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002,
82,2002-01-13,,Premier League,Matchweek 22,Sun,Away,D,1,1,Arsenal,,38132,,,Steve Dunn,Match Report,,2001-2002,2001-2002,2001-2002,
83,2002-01-19,,Premier League,Matchweek 23,Sat,Home,D,1,1,Southampton,,43710,,,Neale Barry,Match Report,,2001-2002,2001-2002,2001-2002,
