,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
72,2002-04-20,,Premier League,Matchweek 36,Sat,Home,W,3,0,Sunderland,,"33,319",,,Stephen Bennett,Match Report,,2001-2002,2001-2002,2001-2002
73,2002-04-24,,Premier League,Matchweek 31,Wed,Away,L,0,2,Arsenal,,"38,038",,,Steve Dunn,Match Report,,2001-2002,2001-2002,2001-2002
74,2002-04-27,,Premier League,Matchweek 37,Sat,Away,L,1,3,Newcastle Utd,,"52,127",,,Paul Durkin,Match Report,,2001-2002,2001-2002,2001-2002
75,2002-05-11,,Premier League,Matchweek 38,Sat,Home,W,2,1,Bolton,,"35,546",,,Mike Dean,Match Report,,2001-2002,2001-2002,2001-2002
76,2002-08-19,,Premier League,Matchweek 1,Mon,Away,L,0,4,Newcastle Utd,,"51,072",,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003
77,2002-08-24,,Premier League,Matchweek 2,Sat,Home,D,2,2,Arsenal,,"35,048",,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003
78,2002-08-31,,Premier League,Matchweek 4,Sat,Home,L,0,2,Charlton Ath,,"32,424",,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003
79,2002-09-11,,Premier League,Matchweek 5,Wed,Home,L,0,1,West Brom,,"34,957",,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003
80,2002-09-15,,Premier League,Matchweek 6,Sun,Away,L,2,3,Tottenham,,"36,005",,,Uriah Rennie,Match Report,,2002-2003,2002-2003,2002-2003
81,2002-09-21,,Premier League,Matchweek 7,Sat,Home,D,0,0,Manchester City,,"35,550",,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003
82,2002-09-28,,Premier League,Matchweek 8,Sat,Away,W,3,2,Chelsea,,"38,929",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
83,2002-10-05,,Premier League,Matchweek 9,Sat,Home,L,1,2,Birmingham City,,"35,010",,,Phil Dowd,Match Report,,2002-2003,2002-2003,2002-2003
84,2002-10-19,,Premier League,Matchweek 10,Sat,Away,W,1,0,Sunderland,,"44,352",,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003
85,2002-10-23,,Premier League,Matchweek 3,Wed,Away,W,1,0,Fulham,,"15,858",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
86,2002-10-27,,Premier League,Matchweek 11,Sun,Home,L,0,1,Everton,,"34,117",,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003
87,2002-11-02,,Premier League,Matchweek 12,Sat,Away,L,0,2,Liverpool,,"44,048",,,Eddie Wolstenholme,Match Report,,2002-2003,2002-2003,2002-2003
88,2002-11-10,,Premier League,Matchweek 13,Sun,Home,L,3,4,Leeds United,,"33,297",,,Steve Dunn,Match Report,,2002-2003,2002-2003,2002-2003
89,2002-11-17,,Premier League,Matchweek 14,Sun,Home,D,1,1,Manchester Utd,,"35,049",,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003
90,2002-11-23,,Premier League,Matchweek 15,Sat,Away,L,1,4,Aston Villa,,"33,279",,,Chris Foy,Match Report,,2002-2003,2002-2003,2002-2003
91,2002-12-02,,Premier League,Matchweek 16,Mon,Home,L,0,1,Southampton,,"28,844",,,Mike Riley,Match Report,,2002-2003,2002-2003,2002-2003
92,2002-12-07,,Premier League,Matchweek 17,Sat,Away,D,2,2,Middlesbrough,,"28,283",,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003
93,2002-12-14,,Premier League,Matchweek 18,Sat,Away,L,0,3,Manchester Utd,,"67,555",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
94,2002-12-21,,Premier League,Matchweek 19,Sat,Home,D,1,1,Bolton,,"34,892",,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003
95,2002-12-26,,Premier League,Matchweek 20,Thu,Home,D,1,1,Fulham,,"35,025",,,Dermot Gallagher,Match Report,,2002-2003,2002-2003,2002-2003
96,2002-12-28,,Premier League,Matchweek 21,Sat,Away,D,2,2,Blackburn,,"24,998",,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003
97,2003-01-11,,Premier League,Matchweek 23,Sat,Home,D,2,2,Newcastle Utd,,"35,048",,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003
98,2003-01-19,,Premier League,Matchweek 24,Sun,Away,L,1,3,Arsenal,,"38,053",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
99,2003-01-22,,Premier League,Matchweek 22,Wed,Away,L,2,4,Charlton Ath,,"26,340",,,Eddie Wolstenholme,Match Report,,2002-2003,2002-2003,2002-2003
100,2003-01-29,,Premier League,Matchweek 25,Wed,Home,W,2,1,Blackburn,,"34,743",,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003
101,2003-02-02,,Premier League,Matchweek 26,Sun,Home,L,0,3,Liverpool,,"35,033",,,Matt Messias,Match Report,,2002-2003,2002-2003,2002-2003
102,2003-02-08,,Premier League,Matchweek 27,Sat,Away,L,0,1,Leeds United,,"40,126",,,Dermot Gallagher,Match Report,,2002-2003,2002-2003,2002-2003
103,2003-02-23,,Premier League,Matchweek 28,Sun,Away,W,2,1,West Brom,,"27,042",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
104,2003-03-01,,Premier League,Matchweek 29,Sat,Home,W,2,0,Tottenham,,"35,049",,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003
105,2003-03-15,,Premier League,Matchweek 30,Sat,Away,D,0,0,Everton,,"40,158",,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003
106,2003-03-22,,Premier League,Matchweek 31,Sat,Home,W,2,0,Sunderland,,"35,033",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
107,2003-04-05,,Premier League,Matchweek 32,Sat,Away,D,1,1,Southampton,,"31,941",,,Matt Messias,Match Report,,2002-2003,2002-2003,2002-2003
108,2003-04-12,,Premier League,Matchweek 33,Sat,Home,D,2,2,Aston Villa,,"35,029",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
109,2003-04-19,,Premier League,Matchweek 34,Sat,Away,L,0,1,Bolton,,"27,160",,,Uriah Rennie,Match Report,,2002-2003,2002-2003,2002-2003
110,2003-04-21,,Premier League,Matchweek 35,Mon,Home,W,1,0,Middlesbrough,,"35,019",,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003
111,2003-04-27,,Premier League,Matchweek 36,Sun,Away,W,1,0,Manchester City,,"34,815",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
112,2003-05-03,,Premier League,Matchweek 37,Sat,Home,W,1,0,Chelsea,,"35,042",,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003
113,2003-05-11,,Premier League,Matchweek 38,Sun,Away,D,2,2,Birmingham City,,"29,505",,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003
