,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
104,2002-11-23,,Bundesliga,Matchweek 14,Sat,Away,L,0,2,Wolfsburg,,,,,Edgar Steinborn,Match Report,,2002-2003,2002-2003,2002-2003,,
105,2002-11-26,,Champions Lg,Second group stage,Tue,Away,W,2,1,ru Loko Moscow,,,,,René Temmink,Match Report,,2002-2003,2002-2003,2002-2003,,
106,2002-11-30,,Bundesliga,Matchweek 15,Sat,Away,W,2,1,Nürnberg,,,,,Markus Merk,Match Report,,2002-2003,2002-2003,2002-2003,,
107,2002-12-07,,Bundesliga,Matchweek 16,Sat,Home,W,3,1,Kaiserslautern,,,,,Hartmut Strampe,Match Report,,2002-2003,2002-2003,2002-2003,,
108,2002-12-11,,Champions Lg,Second group stage,Wed,Home,L,0,1,it Milan,,,,,Anders Frisk,Match Report,,2002-2003,2002-2003,2002-2003,,
109,2002-12-14,,Bundesliga,Matchweek 17,Sat,Away,W,4,0,Energie Cottbus,,,,,Uwe Kemmling,Match Report,,2002-2003,2002-2003,2002-2003,,
110,2003-01-25,,Bundesliga,Matchweek 18,Sat,Away,L,1,2,Hertha BSC,,,,,Herbert Fandel,Match Report,,2002-2003,2002-2003,2002-2003,,
111,2003-02-02,,Bundesliga,Matchweek 19,Sun,Home,W,2,0,Leverkusen,,,,,Lutz Michael Fröhlich,Match Report,,2002-2003,2002-2003,2002-2003,,
112,2003-02-09,,Bundesliga,Matchweek 20,Sun,Away,L,0,1,Stuttgart,,,,,Helmut Fleischer,Match Report,,2002-2003,2002-2003,2002-2003,,
113,2003-02-15,,Bundesliga,Matchweek 21,Sat,Home,W,4,1,Bochum,,,,,Jürgen Aust,Match Report,,2002-2003,2002-2003,2002-2003,,
114,2003-02-19,,Champions Lg,Second group stage,Wed,Away,L,1,2,es Real Madrid,,,,,Ľuboš Michel,Match Report,,2002-2003,2002-2003,2002-2003,,
115,2003-02-22,,Bundesliga,Matchweek 22,Sat,Away,D,2,2,Schalke 04,,,,,Herbert Fandel,Match Report,,2002-2003,2002-2003,2002-2003,,
116,2003-02-25,,Champions Lg,Second group stage,Tue,Home,D,1,1,es Real Madrid,,,,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003,,
117,2003-03-01,,Bundesliga,Matchweek 23,Sat,Home,W,2,0,Hansa Rostock,,,,,Florian Meyer,Match Report,,2002-2003,2002-2003,2002-2003,,
118,2003-03-08,,Bundesliga,Matchweek 24,Sat,Away,L,0,1,Gladbach,,,,,Wolfgang Stark,Match Report,,2002-2003,2002-2003,2002-2003,,
119,2003-03-12,,Champions Lg,Second group stage,Wed,Home,W,3,0,ru Loko Moscow,,,,,Frank de Bleeckere,Match Report,,2002-2003,2002-2003,2002-2003,,
120,2003-03-15,,Bundesliga,Matchweek 25,Sat,Home,W,2,0,Hannover 96,,,,,Lutz Michael Fröhlich,Match Report,,2002-2003,2002-2003,2002-2003,,
121,2003-03-18,,Champions Lg,Second group stage,Tue,Away,W,1,0,it Milan,,,,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003,,
122,2003-03-22,,Bundesliga,Matchweek 26,Sat,Away,D,0,0,Arminia,,,,,Uwe Kemmling,Match Report,,2002-2003,2002-2003,2002-2003,,
123,2003-04-05,,Bundesliga,Matchweek 27,Sat,Home,L,1,2,Werder Bremen,,,,,Lutz Wagner,Match Report,,2002-2003,2002-2003,2002-2003,,
124,2003-04-12,,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Hamburger SV,,,,,Helmut Fleischer,Match Report,,2002-2003,2002-2003,2002-2003,,
125,2003-04-19,,Bundesliga,Matchweek 29,Sat,Home,W,1,0,Bayern Munich,,,,,Markus Merk,Match Report,,2002-2003,2002-2003,2002-2003,,
126,2003-04-26,,Bundesliga,Matchweek 30,Sat,Away,D,0,0,1860 Munich,,,,,Hartmut Strampe,Match Report,,2002-2003,2002-2003,2002-2003,,
127,2003-05-03,,Bundesliga,Matchweek 31,Sat,Home,D,2,2,Wolfsburg,,,,,Torsten Koop,Match Report,,2002-2003,2002-2003,2002-2003,,
128,2003-05-10,,Bundesliga,Matchweek 32,Sat,Home,W,4,1,Nürnberg,,,,,Florian Meyer,Match Report,,2002-2003,2002-2003,2002-2003,,
129,2003-05-17,,Bundesliga,Matchweek 33,Sat,Away,D,0,0,Kaiserslautern,,,,,Franz-Xaver Wack,Match Report,,2002-2003,2002-2003,2002-2003,,
130,2003-05-24,,Bundesliga,Matchweek 34,Sat,Home,D,1,1,Energie Cottbus,,,,,Peter Sippel,Match Report,,2002-2003,2002-2003,2002-2003,,
131,2003-08-02,,Bundesliga,Matchweek 1,Sat,Away,D,2,2,Schalke 04,,,,,Lutz Michael Fröhlich,Match Report,,2003-2004,2003-2004,2003-2004,,
132,2003-08-09,,Bundesliga,Matchweek 2,Sat,Home,W,4,0,Wolfsburg,,,,,Edgar Steinborn,Match Report,,2003-2004,2003-2004,2003-2004,,
133,2003-08-13,,Champions Lg,Third qualifying round,Wed,Away,L,1,2,be Club Brugge,,,,,Pierluigi Collina,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,,
134,2003-08-16,,Bundesliga,Matchweek 3,Sat,Home,W,3,1,1860 Munich,,,,,Markus Merk,Match Report,,2003-2004,2003-2004,2003-2004,,
135,2003-08-23,,Bundesliga,Matchweek 4,Sat,Away,L,0,1,Köln,,,,,Knut Kircher,Match Report,,2003-2004,2003-2004,2003-2004,,
136,2003-08-27,,Champions Lg,Third qualifying round,Wed,Home,W,2,1,be Club Brugge,,,,,Mike Riley,Match Report,Leg 2 of 2, Club Brugge won, Club Brugge won on penalty kicks following extra time,2003-2004,2003-2004,2003-2004
137,2003-09-13,,Bundesliga,Matchweek 5,Sat,Home,W,2,1,Werder Bremen,,,,,Lutz Wagner,Match Report,,2003-2004,2003-2004,2003-2004,,
138,2003-09-20,,Bundesliga,Matchweek 6,Sat,Away,L,0,1,Stuttgart,,,,,Markus Merk,Match Report,,2003-2004,2003-2004,2003-2004,,
139,2003-09-24,,UEFA Cup,First round,Wed,Away,W,2,1,at Austria Wien,,,,,Stuart Dougal,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,,
140,2003-09-27,,Bundesliga,Matchweek 7,Sat,Home,W,1,0,Freiburg,,,,,Wolfgang Stark,Match Report,,2003-2004,2003-2004,2003-2004,,
141,2003-10-04,,Bundesliga,Matchweek 8,Sat,Away,W,1,0,Eint Frankfurt,,,,,Edgar Steinborn,Match Report,,2003-2004,2003-2004,2003-2004,,
142,2003-10-15,,UEFA Cup,First round,Wed,Home,W,1,0,at Austria Wien,,,,,Antonio Manuel Almeida Costa,Match Report,Leg 2 of 2, Dortmund won,2003-2004,2003-2004,2003-2004,
143,2003-10-18,,Bundesliga,Matchweek 9,Sat,Home,W,6,2,Hannover 96,,,,,Herbert Fandel,Match Report,,2003-2004,2003-2004,2003-2004,,
144,2003-10-26,,Bundesliga,Matchweek 10,Sun,Away,L,0,3,Bochum,,,,,Lutz Michael Fröhlich,Match Report,,2003-2004,2003-2004,2003-2004,,
145,2003-11-02,,Bundesliga,Matchweek 11,Sun,Home,W,3,2,Hamburger SV,,,,,Uwe Kemmling,Match Report,,2003-2004,2003-2004,2003-2004,,
146,2003-11-06,,UEFA Cup,Second round,Thu,Home,D,2,2,fr Sochaux,,,,,Vladimir Hrinak,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004,,
147,2003-11-09,,Bundesliga,Matchweek 12,Sun,Away,L,1,4,Bayern Munich,,,,,Markus Merk,Match Report,,2003-2004,2003-2004,2003-2004,,
148,2003-11-22,,Bundesliga,Matchweek 13,Sat,Home,D,2,2,Leverkusen,,,,,Franz-Xaver Wack,Match Report,,2003-2004,2003-2004,2003-2004,,
149,2003-11-27,,UEFA Cup,Second round,Thu,Away,L,0,4,fr Sochaux,,,,,Iouri Baskakov,Match Report,Leg 2 of 2, Sochaux won,2003-2004,2003-2004,2003-2004,
150,2003-11-30,,Bundesliga,Matchweek 14,Sun,Away,L,1,2,Hansa Rostock,,,,,Peter Sippel,Match Report,,2003-2004,2003-2004,2003-2004,,
151,2003-12-06,,Bundesliga,Matchweek 15,Sat,Home,D,1,1,Hertha BSC,,,,,Florian Meyer,Match Report,,2003-2004,2003-2004,2003-2004,,
152,2003-12-14,,Bundesliga,Matchweek 16,Sun,Away,L,1,2,Gladbach,,,,,Edgar Steinborn,Match Report,,2003-2004,2003-2004,2003-2004,,
153,2003-12-17,,Bundesliga,Matchweek 17,Wed,Home,D,1,1,Kaiserslautern,,,,,Wolfgang Stark,Match Report,,2003-2004,2003-2004,2003-2004,,
154,2004-01-30,,Bundesliga,Matchweek 18,Fri,Home,L,0,1,Schalke 04,,,,,Herbert Fandel,Match Report,,2003-2004,2003-2004,2003-2004,,
155,2004-02-07,,Bundesliga,Matchweek 19,Sat,Away,W,4,2,Wolfsburg,,,,,Franz-Xaver Wack,Match Report,,2003-2004,2003-2004,2003-2004,,
156,2004-02-15,,Bundesliga,Matchweek 20,Sun,Away,W,2,0,1860 Munich,,,,,Florian Meyer,Match Report,,2003-2004,2003-2004,2003-2004,,
157,2004-02-22,,Bundesliga,Matchweek 21,Sun,Home,W,1,0,Köln,,,,,Torsten Koop,Match Report,,2003-2004,2003-2004,2003-2004,,
158,2004-02-28,,Bundesliga,Matchweek 22,Sat,Away,L,0,2,Werder Bremen,,,,,Lutz Wagner,Match Report,,2003-2004,2003-2004,2003-2004,,
159,2004-03-06,,Bundesliga,Matchweek 23,Sat,Home,L,0,2,Stuttgart,,,,,Markus Merk,Match Report,,2003-2004,2003-2004,2003-2004,,
160,2004-03-13,,Bundesliga,Matchweek 24,Sat,Away,D,2,2,Freiburg,,,,,Franz-Xaver Wack,Match Report,,2003-2004,2003-2004,2003-2004,,
