,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
68,2006-12-13,,Premier League,Matchweek 16,Wed,Home,W,1,0,Newcastle Utd,,41944,,,Phil Dowd,Match Report,,2006-2007,2006-2007,2006-2007,,
69,2006-12-17,,Premier League,Matchweek 18,Sun,Away,W,3,2,Everton,,33970,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
70,2006-12-23,,Premier League,Matchweek 19,Sat,Away,W,3,2,Wigan Athletic,,22304,,,Mike Dean,Match Report,,2006-2007,2006-2007,2006-2007,,
71,2006-12-26,,Premier League,Matchweek 20,Tue,Home,D,2,2,Reading,,41923,,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007,,
72,2006-12-30,,Premier League,Matchweek 21,Sat,Home,D,2,2,Fulham,,41934,,,Howard Webb,Match Report,,2006-2007,2006-2007,2006-2007,,
73,2007-01-02,,Premier League,Matchweek 22,Tue,Away,D,0,0,Aston Villa,,41006,,,Phil Dowd,Match Report,,2006-2007,2006-2007,2006-2007,,
74,2007-01-13,,Premier League,Matchweek 23,Sat,Home,W,4,0,Wigan Athletic,,40845,,,Martin Atkinson,Match Report,,2006-2007,2006-2007,2006-2007,,
75,2007-01-20,,Premier League,Matchweek 24,Sat,Away,L,0,2,Liverpool,,44969,,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007,,
76,2007-01-31,,Premier League,Matchweek 25,Wed,Home,W,3,0,Blackburn,,37967,,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007,,
77,2007-02-03,,Premier League,Matchweek 26,Sat,Away,W,1,0,Charlton Ath,,27111,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
78,2007-02-10,,Premier League,Matchweek 27,Sat,Home,W,3,0,Middlesbrough,,41709,,,Chris Foy,Match Report,,2006-2007,2006-2007,2006-2007,,
79,2007-02-21,,Champions Lg,Round of 16,Wed,Away,D,1,1,pt Porto,,,,,Massimo Busacca,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007,,
80,2007-03-03,,Premier League,Matchweek 29,Sat,Away,W,2,0,Portsmouth,,20219,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
81,2007-03-06,,Champions Lg,Round of 16,Tue,Home,W,2,1,pt Porto,,,,,Roberto Rosetti,Match Report,Leg 2 of 2, Chelsea won,2006-2007,2006-2007,2006-2007,
82,2007-03-14,,Premier League,Matchweek 28,Wed,Away,W,1,0,Manchester City,,39429,,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007,,
83,2007-03-17,,Premier League,Matchweek 30,Sat,Home,W,3,0,Sheffield Utd,,41908,,,Chris Foy,Match Report,,2006-2007,2006-2007,2006-2007,,
